PrintedFor	PrintedBy	Ignored	Original	count
printed by the assigns of His Majesty's printer [i.e. John Baskett], and of Henry Hills deceas'd	NA	NA	printed by the assigns of His Majesty's printed i.e. John Baskett, and of Henry Hills deceas'd	5
printed by John Baskett; and by Tho. Norris, assignee to George Hills	NA	NA	printed by John Baskett; and by Tho. Norris, assignee to George Hills	5
printed by John Baskett, and by the assigns of Henry Hills, deceas'd	NA	NA	printed by John Baskett, and by the assigns of Henry Hills, deceas'd	5
printed for Nathaniell Butter	NA	NA	printed for Nathaniell Butter	5
printed by William Stansby	NA	NA	printed by William Stansby	5
W. de Worde	NA	NA	W. de Worde	5
Deputies of C. Barker	NA	NA	Deputies of C. Barker	5
by Richarde Iugge, printer to the Queenes Maiestie	NA	NA	by Richarde Iugge, printed to the Queenes Maiestie	5
Society of Stationers	NA	NA	Society of Stationers	5
printed for Mercurius Britannicus	NA	NA	printed for Mercurius Britannicus	5
printed [Thomas Harper?] for Nathaniel Butter	NA	NA	printed Thomas Harper? for Nathaniel Butter	5
R. Young	NA	NA	R. Young	5
By W. Jones	NA	NA	By W. Jones	5
By the Deputies of Christopher Barker, Printer to the Queenes most excellent Maiestie	NA	NA	By the Deputies of Christopher Barker, printed to the Queenes most printedllent Maiestie	5
In ædibus Iohannis Cawodi typographi Reginæ Mariæ excusum	NA	NA	printed inædibus Iohannis Cawodi typographi Reginæ Mariæ printed	5
B. Norton and J. Bill	NA	NA	B. Norton and J. Bill	5
W. Stansby	NA	NA	W. Stansby	5
By Christopher Barker, printer to the Queenes most excellent Maiestie	NA	NA	By Christopher Barker, printed to the Queenes most printedllent Maiestie	5
In aedibus Iohannis Cavvodi Tipographi Regiæ Maiestatis	NA	NA	printed inaedibus Iohannis Cavvodi Tipographi Regiæ Maiestatis	5
by Bonham Norton and Iohn Bill, Printers to the Kings most Excellent Maiestie	NA	NA	by Bonham Norton and Iohn Bill, printed to the Kings most excllent Maiestie	5
by Bonham Norton, and Iohn Bill, printers to the Kings most Excellent Maiestie	NA	NA	by Bonham Norton, and Iohn Bill, printed to the Kings most excllent Maiestie	5
Parish Clerks' Press	NA	NA	Parish Clerks' Press	5
Imprinted at London in Powles Churchyarde by Richard Iugge and Iohn Cawood [i.e. B. Norton and J. Bill] ...	NA	NA	printed in London in Powles Churchyarde by Richard Iugge and Iohn Cawood i.e. B. Norton and J. Bill ..	5
English College Press]	NA	NA	English College Press	5
printed by Edward Allde for Nathaniel Butter and William Sheffard	NA	NA	printed by Edward Allde for Nathaniel Butter and William Sheffard	5
Imprinted by Richard Iugge and Iohn Cawood, Printers to the Quenes Maiestie	NA	NA	printed by Richard Iugge and Iohn Cawood, printed to the Quenes Maiestie	5
printed by Andrew Anderson, printer to the King's most excellent Majesty	NA	NA	printed by Andrew Anderson, printed to the King's most printedllent Majesty	5
printed by Henry Hills, and John Field, printers to His Highness	NA	NA	printed by Henry Hills, and John Field, printed to His Highness	5
printed for E. Whitlock near Stationers-Hall	NA	NA	printed for E. Whitlock near Stationers-Hall	5
Printed by His Majesties command at Oxford, by Leonard Lichfield printer to the Vniversity	NA	NA	Printed by His Majesties command at Oxford, by Leonard Lichfield printed to the Vniversity	5
printed by James Partridge, Matthew Gillyflower, and Samuel Heyrick, printers to the House of Lords	NA	NA	printed by James Partridge, Matthew Gillyflower, and Samuel Heyrick, printed to the House of Lords	5
Printed by James Flesher, printer to the honourable City of London	NA	NA	Printed by James Flesher, printed to the honourable City of London	5
printed for Livewel Chapman, at the Crown in Popes-Head-Alley	NA	NA	printed for Livewel Chapman, at the Crown in Popes-Head-Alley	5
Printed [by L. Lichfield]	NA	NA	Printed by L. Lichfield	5
for Michael Spark Senior, and are to be sold at the Blue-Bible in Green-Arbour	NA	NA	for Michael Spark Senior, and are to be sold at the Blue-Bible in Green-Arbour	5
by Tho: Broad	NA	NA	by Tho: Broad	5
printed for John Wright, at the Kings Head in the Old Bayley	NA	NA	printed for John Wright, at the Kings Head in the Old Bayley	5
printed for R. L.	NA	NA	printed for R. L	5
In the Savoy, printed by Tho. Newcomb	NA	Tho Newcomb	NA	5
In the Savoy, printed by Thomas Newcomb	NA	Thomas Newcomb	NA	5
printed for Iohn Wright, in the old Bayley	NA	NA	printed for Iohn Wright, in the old Bayley	5
Printed by John Bill and Christopher Barker, printers to the Kings most excellent Majesty	NA	NA	Printed by John Bill and Christopher Barker, printed to the Kings most printedllent Majesty	5
printed for F. Coules, and T. Bates	NA	NA	printed for F. Coules, and T. Bates	5
printed for A. Baldwin in Warwicklane	NA	NA	printed for A. Baldwin in Warwicklane	5
Printed by His Majesties command at Oxford, by Leonard Lichfield, printer to the Vniversity	NA	NA	Printed by His Majesties command at Oxford, by Leonard Lichfield, printed to the Vniversity	5
printed for John Martyn, printer to the Royal Society	NA	NA	printed for John Martyn, printed to the Royal Society	5
printed by George Croom, at the Blue-Ball in Thames-street, near Baynard's-Castle	NA	NA	printed by George Croom, at the Blue-Ball in Thames-street, near Baynard's-Castle	5
printed for John Bartlet	NA	NA	printed for John Bartlet	5
printed by the heirs and successors of Andrew Anderson, printer to the Kings most Excellent Majesty	NA	NA	printed by the heirs and successors of Andrew Anderson, printed to the Kings most excllent Majesty	5
printed by William Du-Gard	NA	NA	printed by William Du-Gard	5
Printed by the heir of Andrew Anderson ...	NA	NA	Printed by the heir of Andrew Anderson ..	5
printed by Christopher Higgins, in Harts-Close, over against the Trone-Church	NA	NA	printed by Christopher Higgins, in Harts-Close, over against the Trone-Church	5
printed by the heir of Andrew Anderson	NA	NA	printed by the heir of Andrew Anderson	5
printed for J.J.	NA	NA	printed for J.J	5
printed for Francis Constable	NA	NA	printed for Francis Constable	5
printed for John Sweeting	NA	NA	printed for John Sweeting	5
printed by J. Grantham	NA	NA	printed by J. Grantham	5
printed for Thomas Vnderhill at the signe of the Bible in Wood-street	NA	NA	printed for Thomas Vnderhill at the signe of the Bible in Wood-street	5
printed for R. Smithurst	NA	NA	printed for R. Smithurst	5
printed by Andrew Crook, assignee of Benjamin Tooke, printer to the King and Queen's most Excellent Majesties on Ormonde-Key	NA	NA	printed by Andrew Crook, assignee of Benjamin Tooke, printed to the King and Queen's most excllent Majesties on Ormonde-Key	5
printed for John Wright in the Old-baily	NA	NA	printed for John Wright in the Old-baily	5
printed for J. Wright in the Old-baily	NA	NA	printed for J. Wright in the Old-baily	5
printed by William du-Gard and Henry Hills, printers to his Highness the Lord Protector	NA	NA	printed by William du-Gard and Henry Hills, printed to his Highness the Lord Protector	5
Printed for Richard West	NA	NA	Printed for Richard West	5
printed for Samuel Gellibrand	NA	NA	printed for Samuel Gellibrand	5
printed by Stephen Bulkley	NA	NA	printed by Stephen Bulkley	5
printed for F. Coules	NA	NA	printed for F. Coules	5
printed for J.C. and are to be sold at the Royal Exchange, and without Cripplegate	NA	NA	printed for J.C. and are to be sold at the Royal excange, and without Cripplegate	5
for T.B.	NA	NA	for T.B	5
Printed for John Johnson	NA	NA	Printed for John Johnson	5
By Leonard Lichfield	NA	NA	By Leonard Lichfield	5
printed by Charles Bill, and Thomas Newcomb, printers to the King and Queens most excellent Majesties	NA	NA	printed by Charles Bill, and Thomas Newcomb, printed to the King and Queens most printedllent Majesties	5
printed for Francis Coules	NA	NA	printed for Francis Coules	5
printed by Christopher Barker and John Bill, printers to the Kings most excellent Majesty	NA	NA	printed by Christopher Barker and John Bill, printed to the Kings most printedllent Majesty	5
printed by Robert Bryson	NA	NA	printed by Robert Bryson	5
printed by Andrew Crook assignee of Benjamin Tooke, printer to the King and Queen at thier Majesties printing-house on Ormonde-Key	NA	NA	printed by Andrew Crook assignee of Benjamin Tooke, printed to the King and Queen at thier Majesties printing-house on Ormonde-Key	5
printed by Andrew Crook assignee of Benjamin Tooke, printer to the King and Queen at their Majesties printing-house on Ormonde-Key	NA	NA	printed by Andrew Crook assignee of Benjamin Tooke, printed to the King and Queen at their Majesties printing-house on Ormonde-Key	5
printed for alderman James Malone printer to the King's most excellent Majesty; and are to be sold at his shop in Skinnerrow. And by Andrew Crook on Ormond-Key	NA	NA	printed for alderman James Malone printed to the King's most printedllent Majesty; and are to be sold at his shop in Skinnerrow. And by Andrew Crook on Ormond-Key	5
printed by Andrew Crook the assignee of Benjamin Tooke printer to the King's most excellent Majesty; and are to be sold at his Majesties printing-house on Ormonde-Key	NA	NA	printed by Andrew Crook the assignee of Benjamin Tooke printed to the King's most printedllent Majesty; and are to be sold at his Majesties printing-house on Ormonde-Key	5
printed by T. Fawcet	NA	NA	printed by T. Fawcet	5
L. Lichfield]	NA	NA	L. Lichfield	5
printed and are to be sold by Randal Taylor, near Stationers-Hall	NA	NA	printed and are to be sold by Randal Taylor, near Stationers-Hall	5
printed, and are to be sold by Randall Taylor near Stationers-Hall	NA	NA	printed, and are to be sold by Randall Taylor near Stationers-Hall	5
printed for J.B.	NA	NA	printed for J.B	5
Printed by Robert Ibbitson, in Smithfield, neer the Queenes-head Tavern	NA	NA	Printed by Robert Ibbitson, in Smithfield, neer the Queenes-head Tavern	5
printed by T. Favvcet	NA	NA	printed by T. Favvcet	5
printed by John Grismond for Richard Royston]	NA	NA	printed by John Grismond for Richard Royston	5
printed for G. Horton, living near the three Crowns in Barbican	NA	NA	printed for G. Horton, living near the three Crowns in Barbican	5
printed for the Company of Stationers	NA	NA	printed for the Company of Stationers	5
printed for Edw. Husband, printer to the Honorable House of Commons, and are to be sold at his shop at the signe of the Golden Dragon in Fleetstreet, neer the Inner-Temple	NA	NA	printed for Edw. Husband, printed to the Honorable House of Commons, and are to be sold at his shop at the signe of the Golden Dragon in Fleetstreet, neer the Inner-Temple	5
printed for T. Rider	NA	NA	printed for T. Rider	5
printed for T. Wright	NA	NA	printed for T. Wright	5
printed for Charles King	NA	NA	printed for Charles King	5
printed by William Du-gard, by the appointment of the Council of State	NA	NA	printed by William Du-gard, by the appointment of the Council of State	5
printed by R.W.	NA	NA	printed by R.W	5
printed for G. Wharton	NA	NA	printed for G. Wharton	5
printed for G.H.	NA	NA	printed for G.H	5
printed for R. Rishton	NA	NA	printed for R. Rishton	5
printed for R.A.	NA	NA	printed for R.A	5
Printed in the yeer	NA	NA	printed in the yeer	5
Printed for Laurence Chapman	NA	NA	Printed for Laurence Chapman	5
Printed by Bernard Alsop	NA	NA	Printed by Bernard Alsop	5
Printed for Matthew Walbancke	NA	NA	Printed for Matthew Walbancke	5
printed for William Bowden	NA	NA	printed for William Bowden	5
printed by Charles Eyre and Andrew Strahan	NA	NA	printed by Charles Eyre and Andrew Strahan	5
printed for J. Ridgway, York-Street, St. James's-Square	NA	NA	printed for J. Ridgway, York-Street, St. James's-Square	4
printed for Robert Dawlman	NA	NA	printed for Robert Dawlman	4
printed for A.B.	NA	NA	printed for A.B	4
by Iohn Daye	NA	NA	by Iohn Daye	4
printed by James Williams	NA	NA	printed by James Williams	4
printed by Charles Bill, and Thomas Newcomb, printers to the King and Queen's most Excellent Majesties	NA	NA	printed by Charles Bill, and Thomas Newcomb, printed to the King and Queen's most excllent Majesties	4
printed for Giles Calvert, Henry Hills, and Thomas Brewster	NA	NA	printed for Giles Calvert, Henry Hills, and Thomas Brewster	4
printed for Edward Thomas at the Adam and Eve in Little Britain	NA	NA	printed for Edward Thomas at the Adam and Eve in Little Britain	4
printed for Richard Wier, at the Swan in Bishopsgate-street	NA	NA	printed for Richard Wier, at the Swan in Bishopsgate-street	4
printed for Allen Banks	NA	NA	printed for Allen Banks	4
printed for I.G.	NA	NA	printed for I.G	4
aux depens de la Compagnie	NA	NA	aux depens de la Compagnie	4
Printed for J.B.	NA	NA	Printed for J.B	4
printed by T.F. for F.S.	NA	NA	printed by T.F. for F.S	4
printed by George Miller	NA	NA	printed by George Miller	4
Printed by Robert Ibbitson	NA	NA	Printed by Robert Ibbitson	4
printed by Thomas Leach	NA	NA	printed by Thomas Leach	4
s. n.	NA	NA	s. n	4
printed by John Bill, printer to the Kings most excellent Majesty	NA	NA	printed by John Bill, printed to the Kings most printedllent Majesty	4
printed, by John Bill and Christopher Barker, printers to the Kings most excellent Majesty	NA	NA	printed, by John Bill and Christopher Barker, printed to the Kings most printedllent Majesty	4
printed by Charles Eyre and William Strahan, printers to the King's most excellent Majesty	NA	NA	printed by Charles Eyre and William Strahan, printed to the King's most printedllent Majesty	4
printed by Charles Bill, and the executrix of Thomas Newcomb deceas'd, printers to the Kings most excellent Majesty	NA	NA	printed by Charles Bill, and the executrix of Thomas Newcomb deceas'd, printed to the Kings most printedllent Majesty	4
by William Chase?	NA	NA	by William Chase?	4
printed for J. Johnson, in St. Paul's Church-Yard	NA	NA	printed for J. Johnson, in St. Paul's Church-Yard	4
printed by S. Buckley in Amen-Corner	NA	NA	printed by S. Buckley in Amen-Corner	4
by Leonard Lichfield printer to the Vniversity	NA	NA	by Leonard Lichfield printed to the Vniversity	4
printed for Richard Baldwin, near the Oxford Arms in Warwick-Lane	NA	NA	printed for Richard Baldwin, near the Oxford Arms in Warwick-Lane	4
printed by Samuel Neilson, No3 Mountain-Street	NA	NA	printed by Samuel Neilson, No3 Mountain-Street	4
Printed by John Foster	NA	NA	Printed by John Foster	4
Printed [by William Bradford]	NA	NA	Printed by William Bradford	4
printed by Hall & Sellers	NA	NA	printed by Hall & Sellers	4
From the press of Mathew Carey	NA	NA	From the press of Mathew Carey	4
Printed by Robertsons and Trumbull	NA	NA	Printed by Robertsons and Trumbull	4
Printed by John Holt?	NA	NA	Printed by John Holt?	4
Printed by T. and J. Fleet	NA	NA	Printed by T. and J. Fleet	4
Printed by John Boyle in Marlborough-Street	NA	NA	Printed by John Boyle in Marlborough-Street	4
Printed by J. Carter	NA	NA	Printed by J. Carter	4
Printed and sold by Rogers and Fowle in Queen-Street next to the prison	NA	Rogers and Fowle	NA	4
Printed by T. and S. Green	NA	NA	Printed by T. and S. Green	4
